Municipio;¡rea;AÒo
CUBAR¡;0,119972;2015
CUBAR¡;0,060808;2015
CUBAR¡;0,060813;2015
CUBAR¡;0,121365;2015
CUBAR¡;0,533208;2015
CUBAR¡;0,1781;2015
CUBAR¡;0,183414;2015
CUBAR¡;0,12137;2015
CUBAR¡;0,060813;2015
CUBAR¡;0,451051;2015
CUBAR¡;0,121357;2015
CUBAR¡;0,121331;2015
CUBAR¡;0,060814;2015
CUBAR¡;0,194745;2015
CUBAR¡;0,344296;2015
CUBAR¡;0,121361;2015
CUBAR¡;0,060815;2015
CUBAR¡;0,060821;2015
CUBAR¡;0,47467;2015
CUBAR¡;0,119618;2015
CUBAR¡;0,060821;2015
CUBAR¡;0,119978;2015
CUBAR¡;0,178117;2015
CUBAR¡;1,087805;2015
CUBAR¡;0,464983;2015
CUBAR¡;0,194758;2015
CUBAR¡;0,300016;2015
CUBAR¡;0,208551;2015
CUBAR¡;0,060819;2015
CUBAR¡;0,238762;2015
CUBAR¡;0,659683;2015
CUBAR¡;0,496084;2015
CUBAR¡;0,183433;2015
CUBAR¡;1,515489;2015
CUBAR¡;0,863685;2015
CUBAR¡;0,060802;2015
CUBAR¡;0,06082;2015
CUBAR¡;0,208586;2015
CUBAR¡;0,326718;2015
CUBAR¡;0,121383;2015
CUBAR¡;0,23877;2015
CUBAR¡;0,11999;2015
CUBAR¡;0,121345;2015
CUBAR¡;0,060821;2015
CUBAR¡;0,23975;2015
CUBAR¡;0,205979;2015
CUCAITA;0,031795;2015
CHIVOR;0,23942;2015
CHIVOR;0,121663;2015
CHIVOR;0,120256;2015
CHIVOR;0,121665;2015
CHIVOR;0,534581;2015
DUITAMA;0,18367;2015
DUITAMA;0,060915;2015
DUITAMA;0,060915;2015
DUITAMA;0,018137;2015
DUITAMA;0,120089;2015
DUITAMA;0,120089;2015
DUITAMA;0,661357;2015
DUITAMA;0,121497;2015
DUITAMA;0,663188;2015
DUITAMA;0,12009;2015
DUITAMA;0,121504;2015
FIRAVITOBA;0,004819;2015
FIRAVITOBA;0,120131;2015
FIRAVITOBA;0,060941;2015
FIRAVITOBA;0,120129;2015
FIRAVITOBA;0,935354;2015
FIRAVITOBA;0,060938;2015
FIRAVITOBA;0,2062;2015
FIRAVITOBA;0,121542;2015
FIRAVITOBA;0,060942;2015
